id,nome,tipo_edificio,lvl_edificio,dipendenti,coord_X,coord_Y
1767,Commercial,commercial,1,15,4014576.947957729,1164566.8327972735
1768,Commercial,commercial,1,15,4014456.974235262,1164080.3593118908
1769,Office,office,1,10,4011694.9661673116,1171895.3351227099
1770,Office,office,1,10,4011636.3429030413,1171815.0794339706
1771,Commercial,commercial,1,15,4011669.990945384,1171765.9615037653
1772,Commercial,commercial,1,15,4006583.643372631,1171285.8644170575
1773,Office,office,1,10,4006567.906436997,1171809.3588825683
1774,Commercial,commercial,1,15,4006050.983912435,1171869.0299503359
1775,Commercial,commercial,1,15,4005931.5938049294,1171558.9392065434
1776,Commercial,commercial,1,15,4005899.973876087,1171579.1491085007
1777,Commercial,commercial,1,15,4005900.5205774195,1171603.8111518042
1778,Commercial,commercial,1,15,4005900.5205774195,1171603.8111518042
1779,Commercial,commercial,1,15,4005853.0930474997,1171269.0545621351
1780,Commercial,commercial,1,15,4005853.0930474997,1171269.0545621351
1781,Commercial,commercial,1,15,4005844.521841263,1171245.3355836293
1782,Commercial,commercial,1,15,4005885.119951195,1171323.3433321982
1783,Commercial,commercial,1,15,4005049.568864219,1171567.3272009743
1784,Commercial,commercial,1,15,4005295.6027512704,1174712.9745838863
1785,Commercial,commercial,1,15,4005285.56004719,1174710.1567241326
1786,Commercial,commercial,1,15,4005320.5660571842,1174548.144852521
1787,Commercial,commercial,1,15,4005053.022470359,1175140.619086497
1788,Commercial,commercial,1,15,4005238.114380932,1175214.6426737667
1789,Consorzio agrario provinciale,office,1,10,4005475.4617576166,1177403.827248966
1790,Office,office,3,30,4010576.922914414,1192810.5712437597
1791,Commercial,commercial,1,15,4006051.094021625,1179825.9392715178
1792,Commercial,commercial,1,15,4007631.0854455912,1180153.3515020385
1793,Commercial,commercial,1,15,4007619.323478372,1180132.1318207027
1794,Commercial,commercial,1,15,4007752.570820077,1180059.5939985085
1795,Commercial,commercial,1,15,4007684.6633337606,1180319.694025727
1796,Commercial,commercial,1,15,4011641.488855804,1182038.107102849
1797,Commercial,commercial,1,15,4011660.909220178,1182000.1386162573
1798,Commercial,commercial,1,15,4011675.3046821803,1182221.4258261856
1799,Commercial,commercial,1,15,4011894.936221152,1181373.2178434276
1800,Commercial,commercial,1,15,4012842.661786433,1182739.2274843059
1801,Commercial,commercial,1,15,4012837.326123408,1182702.7385763833
1802,Commercial,commercial,1,15,4012808.0584391924,1182592.7220277356
1803,Commercial,commercial,1,15,4012782.1406337363,1182692.742434955
1804,Commercial,commercial,1,15,4012163.4343246873,1180991.717412735
1805,Commercial,commercial,1,15,4012201.4547211197,1180952.6028633767
1806,Commercial,commercial,1,15,4012433.6343883188,1175889.319977388
1807,Commercial,commercial,1,15,4012628.562671713,1175762.0273769964
1808,Commercial,commercial,1,15,4012762.752115319,1175789.4281044863
1809,Commercial,commercial,1,15,4012754.46613491,1175752.0499554253
1810,Commercial,commercial,1,15,4012776.098004175,1182351.352801643
1811,Commercial,commercial,3,45,4012974.4522096235,1175598.646590755
1812,Commercial,commercial,1,15,4012970.1969743483,1175619.428771064
1813,Commercial,commercial,1,15,4012591.480303095,1182391.4774700946
1814,Commercial,commercial,1,15,4012619.4101338875,1182579.6114612175
1815,Commercial,commercial,1,15,4012584.434481881,1182100.8701601254
1816,Commercial,commercial,1,15,4012620.291700483,1182180.1751567158
1817,Commercial,commercial,5,75,4012911.4011296663,1175267.4625657212
1818,Commercial,commercial,2,30,4013040.541643505,1175578.5246886539
1819,Commercial,commercial,1,15,4013062.215434213,1175613.6320054964
1820,Commercial,commercial,3,45,4013027.542587514,1175469.6120850274
1821,Commercial,commercial,1,15,4012942.0098212007,1175020.4666194406
1822,Commercial,commercial,1,15,4012956.566876717,1175009.1582207482
1823,Commercial,commercial,3,45,4012961.7549828906,1174958.9310686144
1824,Commercial,commercial,3,45,4012932.6035424066,1174971.6402856424
1825,Commercial,commercial,1,15,4013117.033148031,1174986.3956409222
1826,Commercial,commercial,1,15,4013144.3255624715,1175010.5208954418
1827,Commercial,commercial,1,15,4013204.8442736315,1174870.0553644632
1828,Commercial,commercial,1,15,4013087.794967227,1174703.1888342437
1829,Commercial,commercial,3,45,4013049.76547081,1174760.717616096
1830,Office,office,2,20,4012537.7717371387,1174880.2131435222
1831,Commercial,commercial,3,45,4012622.3176001464,1174830.7773903226
1832,Commercial,commercial,1,15,4012204.130053065,1171411.0745890506
1833,Commercial,commercial,1,15,4011845.4095515893,1171841.9719456662
1834,Commercial,commercial,1,15,4012561.4309941786,1184125.9933644223
1835,Commercial,commercial,1,15,4012563.2861352493,1184184.99314837
1836,Commercial,commercial,1,15,4012563.6246639183,1184207.2495866416
